sensor_id,adc,label,weight,frustum
1,120,medium,200,2
1,298,light,100,3
1,539,medium,200,3
1,665,medium,300,3
1,318,medium,150,3
1,518,medium,250,3
1,589,medium,250,3
1,719,medium,350,3
1,750,medium,400,3
1,0,light,50,3
1,732,medium,450,3
1,392,medium,150,3
1,670,medium,300,3
1,728,medium,450,3
1,677,medium,400,3
1,688,medium,350,3
1,0,light,50,2
1,0,light,100,2
1,38,medium,150,2
1,93,medium,200,2
1,288,medium,250,2
1,216,medium,300,2
1,320,medium,350,2
1,473,medium,400,2
1,620,medium,450,2
1,702,medium,500,2
1,0,light,50,1
1,224,light,100,1
1,440,medium,150,1
1,461,medium,200,1
1,606,medium,250,1
1,722,medium,300,1
1,732,medium,350,1
1,770,medium,400,1
1,780,medium,450,1
1,811,medium,500,1
2,0,light,50,1
2,360,light,100,1
2,500,medium,150,1
2,718,medium,200,1
2,743,medium,250,1
2,790,medium,300,1
2,770,medium,350,1
2,817,medium,400,1
2,848,medium,450,1
2,880,medium,500,1
2,0,light,50,2
2,0,light,100,2
2,338,medium,150,2
2,346,medium,200,2
2,415,medium,250,2
2,460,medium,300,2
2,487,medium,350,2
2,545,medium,400,2
2,524,medium,450,2
2,434,medium,500,2
1,0,light,50,1
1,286,light,100,1
1,413,medium,150,1
1,598,medium,200,1
1,605,medium,250,1
1,718,medium,300,1
1,776,medium,350,1
1,805,medium,400,1
1,822,medium,450,1
1,833,medium,500,1
1,541,medium,200,1
1,670,medium,250,1
1,603,medium,200,1
1,672,medium,250,1
1,717,medium,300,1
1,675,medium,250,1
1,,#N/A,,1
